"Access (Q5_1)","Overall Index","Canteen (Q4_1)","Sector","Gender"
56.3636363636364,55.4838709677419,55,"Public","Female"
45.4545454545455,52.6666666666667,58.3333333333333,"Public","Female"
65.4545454545455,70.3225806451613,80,"Public","Female"
52.7272727272727,62.4242424242424,73.3333333333333,"Public","Female"
56.3636363636364,53.5483870967742,46.6666666666667,"Public","Female"
58.1818181818182,61.2903225806452,70,"Public","Female"
60,60.625,71.6666666666667,"Public","Female"
70.9090909090909,70,78.3333333333333,"Public","Female"
70.9090909090909,70.9677419354839,71.6666666666667,"Public","Female"
100,84.5161290322581,81.6666666666667,"Public","Female"
60,53.5483870967742,50,"Public","Female"
60,65.8064516129032,68.3333333333333,"Public","Female"
61.8181818181818,58.7096774193548,60,"Public","Female"
74.5454545454545,62.0689655172414,50,"Public","Male"
85.4545454545455,75,75,"Public","Female"
47.2727272727273,53.5483870967742,58.3333333333333,"Public","Female"
49.0909090909091,60.6060606060606,70,"Public","Male"
43.6363636363636,47.1428571428571,46.6666666666667,"Public","Female"
80,70.6666666666667,73.3333333333333,"Public","Female"
61.8181818181818,67.5862068965517,76.6666666666667,"Public","Female"
38.1818181818182,48.2352941176471,51.6666666666667,"Public","Female"
23.6363636363636,32.258064516129,21.6666666666667,"Public","Female"
61.8181818181818,55.3333333333333,51.6666666666667,"Public","Female"
83.6363636363636,73.3333333333333,70,"Public","Female"
70.9090909090909,60.625,56.6666666666667,"Public","Female"
20,34.8387096774194,33.3333333333333,"Public","Female"
27.2727272727273,34.1935483870968,30,"Public","Female"
74.5454545454545,63.75,53.3333333333333,"Public","Male"
76.3636363636364,59.3548387096774,48.3333333333333,"Public","Female"
83.6363636363636,72.258064516129,66.6666666666667,"Public","Female"
70.9090909090909,67.8787878787879,66.6666666666667,"Public","Female"
90.9090909090909,81.2121212121212,90,"Public","Female"
58.1818181818182,57.5757575757576,56.6666666666667,"Public","Female"
76.3636363636364,70.3030303030303,75,"Public","Female"
69.0909090909091,65.1612903225807,68.3333333333333,"Public","Male"
87.2727272727273,77.4193548387097,76.6666666666667,"Public","Female"
100,81.8181818181818,85,"Public","Female"
52.7272727272727,54.1935483870968,56.6666666666667,"Public","Female"
60,57.4193548387097,66.6666666666667,"Public","Female"
78.1818181818182,67.5,63.3333333333333,"Public","Female"
81.8181818181818,78.7096774193548,85,"Public","Female"
85.4545454545455,80,83.3333333333333,"Public","Female"
20,49.375,65,"Public","Female"
56.3636363636364,53.125,45,"Public","Female"
76.3636363636364,64.6666666666667,61.6666666666667,"Public","Female"
58.1818181818182,62.5806451612903,63.3333333333333,"Private","Male"
80,71.6129032258064,76.6666666666667,"Private","Male"
60,56.25,51.6666666666667,"Private","Female"
40,45,50,"Private","Male"
74.5454545454545,76.6666666666667,86.6666666666667,"Private","Male"
81.8181818181818,84.375,100,"Private","Male"
65.4545454545455,65.625,70,"Public","Female"
78.1818181818182,72.5,76.6666666666667,"Private","Female"
40,45.3333333333333,36.6666666666667,"Public","Female"
